hspace,gamma_dephase_old,derivative,gamma_dephase,decay_2us_old,decay_2us_0,decay_2us_2,decay_5us_old,decay_5us_0,decay_5us_2,decay_50us_old,decay_50us_0,decay_50us_2
0.0,0.0,0.0,0.0,0.0,4.6664677215601376e-30,3.497347765889587e-31,0.0,1.866587088624055e-30,1.3989391063558351e-31,0.0,1.8665870886240552e-31,1.3989391063558351e-32
1.0,0.0005,7.28722229e-05,0.000111111111,0.0005,0.3116992670599767,0.0233607259350584,0.0002,0.12467970682399072,0.009344290374023394,2e-05,0.012467970682399073,0.0009344290374023394
2.0,0.0001111111111111,1.81610897,7.98883542e-06,6.25e-07,6.25e-07,6.25e-07,6.25e-07,6.25e-07,6.25e-07,6.25e-07,6.25e-07,6.25e-07
4.0,0.0005,0.000270714136,1.19083751e-09,0.0005,1.1829544776489208e-30,8.865813386943022e-32,0.0002,4.731817910595683e-31,3.5463253547772086e-32,2e-05,4.731817910595683e-32,3.546325354777209e-33
5.0,0.0005,0.564294834,2.48226215e-06,0.0005,4.0809139456951895e-05,3.0584965165028632e-06,0.0002,1.632365578278076e-05,1.2233986066011452e-06,2e-05,1.632365578278076e-06,1.2233986066011452e-07
7.0,0.0005,0.000182102114,8.01044344e-10,0.0005,0.0005,3.74731807286596e-05,0.0002,0.0002,1.4989272291463838e-05,2e-05,2e-05,1.498927229146384e-06
8.0,0.0005,0.110984452,4.88206675e-07,0.0005,1.3701588028793115e-32,1.0268841689452061e-33,0.0002,5.4806352115172464e-33,4.107536675780825e-34,2e-05,5.480635211517246e-34,4.107536675780825e-35
11.0,0.0005,0.00554232116,2.43799752e-08,0.0005,5.453558118858261e-33,4.0872433800444884e-34,0.0002,2.1814232475433044e-33,1.6348973520177957e-34,2e-05,2.1814232475433044e-34,1.6348973520177955e-35
12.0,0.0005,0.227480513,1.00065823e-06,0.0005,1.9746423749305683e-08,1.479922611804855e-09,0.0002,7.898569499722274e-09,5.919690447219424e-10,2e-05,7.898569499722275e-10,5.919690447219424e-11
16.0,0.0005,0.047004192,2.06765541e-07,0.0005,2.594064736516395e-31,1.944157133866432e-32,0.0002,1.037625894606558e-31,7.776628535465729e-33,2e-05,1.0376258946065583e-32,7.77662853546573e-34
