hspace,gamma_dephase_old,derivative,gamma_dephase,decay_2us_old,decay_2us_0,decay_2us_2,decay_5us_old,decay_5us_0,decay_5us_2,decay_50us_old,decay_50us_0,decay_50us_2
0.0,0.0,0.0,0.0,0.0,2.31219708e-33,1.41472646e-32,0.0,9.24878833313939e-34,5.6589058527510616e-33,0.0,9.24878833313939e-35,5.658905852751062e-34
2.0,0.0001111111111111,1.81610897,0.0001111111111111,6.25e-07,6.25e-07,6.25e-07,6.25e-07,6.25e-07,6.25e-07,6.25e-07,6.25e-07,6.25e-07
3.0,0.0005,1.81605649,7.988604570047594e-06,0.0005,8.05994626e-08,4.93150837e-07,0.0002,3.223978505513866e-08,1.9726033483353887e-07,2e-05,3.2239785055138662e-09,1.9726033483353887e-08
4.0,0.0005,0.00027071415,1.190837569081648e-09,0.0005,8.33048803e-33,5.097040369999997e-32,0.0002,3.332195212299431e-33,2.0388161465243177e-32,2e-05,3.3321952122994312e-34,2.0388161465243178e-33
8.0,0.0005,0.110984452,4.88206674920904e-07,0.0005,3.3527872300000004e-30,2.05141545e-29,0.0002,1.3411148909397325e-30,8.205661792861441e-30,2e-05,1.3411148909397326e-31,8.20566179286144e-31
9.0,0.0005,0.103856014,4.568495708342899e-07,0.0005,0.0005,0.00305926877,0.0002,0.0002,0.0012237075060901983,2e-05,2e-05,0.00012237075060901983
10.0,0.0005,0.0023401545,1.0294045937589442e-08,0.0005,0.0994911594,0.608740393,0.0002,0.03979646377759893,0.24349615720247245,2e-05,0.003979646377759893,0.024349615720247245
11.0,0.0005,0.00554232091,2.4379974077951915e-08,0.0005,1.1300649699999999e-28,6.91434495e-28,0.0002,4.520259893226174e-29,2.7657379804096735e-28,2e-05,4.5202598932261744e-30,2.7657379804096737e-29
15.0,0.0005,0.00763872599,3.360179690944269e-08,0.0005,0.00417210958,0.0255272091,0.0002,0.0016688438339287914,0.01021088363035503,2e-05,0.00016688438339287914,0.001021088363035503
16.0,0.0005,0.047004192,2.0676554120989626e-07,0.0005,8.986649120000002e-30,5.498514990000001e-29,0.0002,3.594659646647095e-30,2.1994059957207946e-29,2e-05,3.594659646647095e-31,2.1994059957207947e-30
18.0,0.0005,0.0613387958,2.698216642198703e-07,0.0005,1.37602997e-31,8.41929104e-31,0.0002,5.504119894166017e-32,3.3677164144556713e-31,2e-05,5.504119894166018e-33,3.367716414455671e-32
19.0,0.0005,0.0982456242,4.321701702524125e-07,0.0005,2.12893942e-05,0.000130259958,0.0002,8.515757692986304e-06,5.210398304476345e-05,2e-05,8.515757692986305e-07,5.210398304476345e-06
20.0,0.0005,0.00723629288,3.1831544167092995e-08,0.0005,0.0011243198,0.00687919286,0.0002,0.000449727918178021,0.0027516771458638138,2e-05,4.49727918178021e-05,0.0002751677145863814
23.0,0.0005,2.83028269,1.2450058330432552e-05,0.0005,1.60577128e-29,9.82497187e-29,0.0002,6.423085139537547e-30,3.9299887487542517e-29,2e-05,6.423085139537547e-31,3.929988748754252e-30
24.0,0.0005,2.68450471,1.180879929270278e-05,0.0005,2.86695243e-05,0.00017541556,0.0002,1.1467809705056654e-05,7.016622407245924e-05,2e-05,1.1467809705056655e-06,7.0166224072459245e-06
25.0,0.0005,0.138246955,6.081310039580124e-07,0.0005,1.03234789e-30,6.31645929e-30,0.0002,4.129391549948097e-31,2.5265837176284618e-30,2e-05,4.129391549948097e-32,2.5265837176284615e-31
